step:0 top1:34.05% nums_selected:0 selected_percent:0.00% mAP:29.34% label_pre:40.43% select_pre:98.00%
step:1 top1:35.90% nums_selected:50 selected_percent:3.35% mAP:30.83% label_pre:41.97% select_pre:97.06%
step:2 top1:39.03% nums_selected:68 selected_percent:4.55% mAP:33.86% label_pre:45.05% select_pre:96.51%
step:3 top1:35.90% nums_selected:86 selected_percent:5.76% mAP:31.19% label_pre:42.64% select_pre:97.12%
step:4 top1:39.74% nums_selected:104 selected_percent:6.96% mAP:33.61% label_pre:45.11% select_pre:97.54%
step:5 top1:40.88% nums_selected:122 selected_percent:8.17% mAP:34.77% label_pre:46.52% select_pre:95.71%
step:6 top1:41.31% nums_selected:140 selected_percent:9.37% mAP:35.22% label_pre:46.12% select_pre:95.57%
step:7 top1:40.46% nums_selected:158 selected_percent:10.58% mAP:35.37% label_pre:48.06% select_pre:96.59%
step:8 top1:41.74% nums_selected:176 selected_percent:11.78% mAP:36.34% label_pre:47.79% select_pre:96.91%
step:9 top1:42.45% nums_selected:194 selected_percent:12.99% mAP:36.52% label_pre:49.80% select_pre:94.81%
step:10 top1:41.60% nums_selected:212 selected_percent:14.19% mAP:35.58% label_pre:47.46% select_pre:95.65%
step:11 top1:44.44% nums_selected:230 selected_percent:15.39% mAP:37.93% label_pre:49.87% select_pre:96.77%
step:12 top1:45.01% nums_selected:248 selected_percent:16.60% mAP:39.02% label_pre:50.07% select_pre:96.24%
step:13 top1:43.73% nums_selected:266 selected_percent:17.80% mAP:38.45% label_pre:49.26% select_pre:97.18%
step:14 top1:45.73% nums_selected:284 selected_percent:19.01% mAP:39.47% label_pre:50.60% select_pre:97.02%
step:15 top1:46.58% nums_selected:302 selected_percent:20.21% mAP:39.77% label_pre:52.21% select_pre:96.25%
step:16 top1:48.15% nums_selected:320 selected_percent:21.42% mAP:41.56% label_pre:52.48% select_pre:97.04%
step:17 top1:48.72% nums_selected:338 selected_percent:22.62% mAP:42.22% label_pre:52.41% select_pre:97.19%
step:18 top1:51.14% nums_selected:356 selected_percent:23.83% mAP:43.76% label_pre:53.82% select_pre:96.52%
step:19 top1:50.00% nums_selected:374 selected_percent:25.03% mAP:42.78% label_pre:53.61% select_pre:96.68%
step:20 top1:51.57% nums_selected:392 selected_percent:26.24% mAP:44.56% label_pre:55.76% select_pre:96.59%
step:21 top1:51.00% nums_selected:410 selected_percent:27.44% mAP:44.10% label_pre:56.09% select_pre:96.50%
step:22 top1:52.71% nums_selected:428 selected_percent:28.65% mAP:44.89% label_pre:55.35% select_pre:96.64%
step:23 top1:53.85% nums_selected:446 selected_percent:29.85% mAP:45.70% label_pre:59.30% select_pre:96.55%
step:24 top1:55.13% nums_selected:464 selected_percent:31.06% mAP:47.01% label_pre:57.43% select_pre:96.27%
step:25 top1:55.98% nums_selected:482 selected_percent:32.26% mAP:47.60% label_pre:60.37% select_pre:96.60%
step:26 top1:55.56% nums_selected:500 selected_percent:33.47% mAP:46.58% label_pre:57.70% select_pre:96.72%
step:27 top1:57.69% nums_selected:518 selected_percent:34.67% mAP:49.19% label_pre:59.71% select_pre:96.64%
step:28 top1:59.12% nums_selected:536 selected_percent:35.88% mAP:49.59% label_pre:60.11% select_pre:96.75%
step:29 top1:55.70% nums_selected:554 selected_percent:37.08% mAP:47.94% label_pre:60.11% select_pre:96.50%
